index,T/F
1061,1
1062,1
1063,0
1064,1
1065,0
1066,1
1067,1
1068,1
1069,1
1070,1
1071,0
1072,1
1073,0
1074,0
1075,0
1076,0
1077,0
1078,1
1079,1
1080,1
1081,0
1082,0
1083,0
1084,0
1085,0
1086,1
1087,1
1088,1
1089,1
1090,1
1091,0
1092,1
1093,1
1094,0
1095,0
1096,1
1097,1
1098,0
1099,1
1100,0
1101,1
1102,1
1103,0
1104,1
1105,0
1106,1
1107,0
1108,1
1109,1
1110,0
1111,0
1112,0
1113,0
1114,0
1115,1
1116,0
1117,1
1118,0
1119,1
1120,0
1121,1
1122,0
1123,1
1124,1
1125,1
1126,1
1127,0
1128,0
1129,1
1130,1
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,1
1139,1
1140,0
1141,0
1142,1
1143,0
1144,1
1145,1
1146,1
1147,0
1148,1
1149,0
1150,1
1151,1
1152,1
1153,0
1154,1
1155,0
1156,0
1157,1
1158,0
1159,0
1160,1
1161,1
1162,1
1163,1
1164,1
1165,0
1166,0
1167,1
1168,0
1169,0
1170,1
1171,0
1172,1
1173,1
1174,0
1175,1
1176,1
1177,1
1178,1
1179,0
1180,1
1181,1
1182,1
1183,1
1184,1
1185,0
1186,1
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,0
1195,1
1196,1
1197,0
1198,0
1199,1
1200,1
1201,1
1202,1
1203,0
1204,0
1205,0
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,0
1214,1
1215,0
1216,1
1217,0
1218,1
1219,1
1220,1
1221,1
1222,1
1223,0
1224,0
1225,1
1226,1
1227,1
1228,1
1229,0
1230,1
1231,1
1232,1
1233,1
1234,0
1235,1
1236,1
1237,0
1238,1
1239,1
1240,1
1241,1
1242,0
1243,1
1244,1
1245,1
1246,1
1247,1
1248,0
1249,1
1250,0
1251,1
1252,1
1253,0
1254,1
1255,1
1256,1
1257,1
1258,1
1259,1
1260,1
1261,1
